34 74
哈尔滨
长春
沈阳
呼和浩特
北京
天津
石家庄
济南
太原
银川
西安
兰州
乌鲁木齐
西宁
拉萨
成都
郑州
南京
合肥
武汉
重庆
贵阳
长沙
南昌
上海
杭州
福州
昆明
南宁
广州
海口
香港
澳门
台北
802 157
784 195
763 240
586 276
661 293
675 306
630 334
674 362
604 336
503 325
545 412
461 375
239 180
429 358
231 475
460 482
622 400
715 451
685 455
641 488
497 508
502 568
618 536
670 524
757 463
736 487
733 568
428 595
530 643
624 637
569 705
643 654
628 656
774 587
0 1 3
1 2 3.5
2 4 8.5
2 5 8.5
3 8 6.5
3 9 8
4 3 6
4 5 2
4 6 3.5
4 7 5
4 24 16.5
5 7 4
5 16 7
6 7 4
6 8 3
6 16 5.5
7 16 5.5
7 17 7.5
7 18 8
8 10 7.5
8 16 6
9 8 9
9 10 8
9 11 5
9 12 23.5
10 11 8.5
10 15 9.5
10 16 6
10 20 9
10 22 12
11 13 4
11 15 12.5
12 14 38
13 12 23
13 14 30
15 14 36
15 20 3.5
15 21 7
15 27 10
16 18 6
16 19 6.5
16 22 10
17 25 4.5
18 17 3
18 19 4.5
18 23 5
18 26 10.5
19 22 4
19 23 5
20 21 4.5
20 22 11
21 27 7
21 28 7
21 22 9.5
21 29 10.5
22 23 4
22 29 10
23 26 7
24 25 2.5
24 17 4
25 23 6
25 26 8
26 29 9.5
26 31 10
26 33 2
27 28 10.5
28 30 6.5
29 23 8.5
29 28 7.5
29 30 7.5
29 31 3
29 32 2.5
32 31 1.5
32 30 7.5
